"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
1340295,-0.8369093793
1342121,-0.8378470839
1343947,-0.8382731077
1345773,-0.8383955554
1347599,-0.8384309059
1349425,-0.8384439419
1351251,-0.838450877
1353077,-0.8384559504
1354903,-0.83846038
1356729,-0.8384645452
1358555,-0.8384685715
1360381,-0.8384725065
1362207,-0.8384763746
1364033,-0.8384801939
1365859,-0.8384839817
1367685,-0.8384877564
1369511,-0.8384915373
1371337,-0.8384953456
1373163,-0.8384992041
1374989,-0.8385031381
1376815,-0.8385071752
1378641,-0.8385113466
1380467,-0.8385156884
1382293,-0.8385202441
1384119,-0.838525073
1385945,-0.8385302758
1387771,-0.8385360781
1389597,-0.8385431185
1391423,-0.8385534915
1393249,-0.8385747814
1395075,-0.8386365674
1396901,-0.8388519794
1398727,-0.839497256
1400553,-0.8404777412
1402379,-0.8410833551
1404205,-0.8412918393
1406031,-0.8413483747
1407857,-0.8413655021
1409683,-0.8413738744
1411509,-0.8413787868
1413335,-0.8413827441
1415161,-0.8413865698
1416987,-0.841390346
1418813,-0.8413941098
1420639,-0.8413978827
1422465,-0.8414016866
1424291,-0.8414055501
1426117,-0.841409513
1427943,-0.8414136308
1429769,-0.8414179806
1431595,-0.8414226709
1433421,-0.8414278523
1435247,-0.8414337245
1437073,-0.8414405251
1438899,-0.8414484669
1440725,-0.8414576017
1442551,-0.8414676522
1444377,-0.8414779891
1446203,-0.8414878932
1448029,-0.8414969647
1449855,-0.8415054591
1451681,-0.8415148197
1453507,-0.8415298027
1455333,-0.8415672394
1457159,-0.8416899766
1458985,-0.8420904938
1460811,-0.8429261903
1462637,-0.8436500584
1464463,-0.8439349542
1466289,-0.8440173125
1468115,-0.8440420566
1469941,-0.8440513191
1471767,-0.8440563645
1473593,-0.8440615506
1475419,-0.8440758547
1477245,-0.8441269472
1479071,-0.8441920997
1480897,-0.8442154139
1482723,-0.8442223676
1484549,-0.8442270101
1486375,-0.8442319621
1488201,-0.8442377737
1490027,-0.8442446685
1491853,-0.8442527189
1493679,-0.8442617473
1495505,-0.8442712779
1497331,-0.8442805702
1499157,-0.8442889799
1500983,-0.8442963058
1502809,-0.844302612
1504635,-0.844308089
1506461,-0.8443129501
1508287,-0.8443173976
1510113,-0.8443217127
1511939,-0.844326574
1513765,-0.8443324982
1515591,-0.8443419689
1517417,-0.844365729
1519243,-0.8444429696
1521069,-0.8447083743
1522895,-0.8453944209
1524721,-0.8462214411
1526547,-0.8466333163
1528373,-0.8467598167
1530199,-0.8467964153
1532025,-0.8468090757
1533851,-0.8468153941
1535677,-0.846820188
1537503,-0.846824926
1539329,-0.8468301667
1541155,-0.8468362144
1542981,-0.8468432563
1544807,-0.8468512997
1546633,-0.8468600514
1548459,-0.8468689164
1550285,-0.8468772653
1552111,-0.8468850569
1553937,-0.8468949245
1555763,-0.8469212023
1557589,-0.8469841206
1559415,-0.8470301006
1561241,-0.8470434117
1563067,-0.8470480938
1564893,-0.8470513244
1566719,-0.8470543479
1568545,-0.8470573624
1570371,-0.8470603922
1572197,-0.8470634444
1574023,-0.8470665621
1575849,-0.8470699185
1577675,-0.8470741056
1579501,-0.8470811293
1581327,-0.8470980707
1583153,-0.8471512339
1584979,-0.8473353583
1586805,-0.847873512
1588631,-0.8487124441
1590457,-0.8492443358
1592283,-0.8494258528
1594109,-0.849479716
1595935,-0.8494993399
1597761,-0.8495105112
1599587,-0.8495198818
1601413,-0.849528836
1603239,-0.8495372614
1605065,-0.8495448116
1606891,-0.8495513374
1608717,-0.8495569114
1610543,-0.849561713
1612369,-0.8495659319
1614195,-0.8495697259
1616021,-0.8495732131
1617847,-0.849576478
1619673,-0.8495795808
1621499,-0.8495825731
1623325,-0.8495855764
1625151,-0.8495889353
1626977,-0.8495921607
1628803,-0.8495949432
1630629,-0.8495975926
1632455,-0.8496002078
1634281,-0.8496030855
1636107,-0.8496080862
1637933,-0.8496253135
1639759,-0.8496781055
1641585,-0.84973096
1643411,-0.8497493385
1645237,-0.8497581405
1647063,-0.8497724304
1648889,-0.8498123565
1650715,-0.8499450511
1652541,-0.8503580896
1654367,-0.8511486784
1656193,-0.8517881433
1658019,-0.8520382083
1659845,-0.8521135889
1661671,-0.8521380093
1663497,-0.8521480734
1665323,-0.8521537311
1667149,-0.8521578612
1668975,-0.852161379
1670801,-0.8521646063
1672627,-0.8521676698
1674453,-0.8521706269
1676279,-0.8521735084
1678105,-0.8521763341
1679931,-0.85217912
1681757,-0.8521818828
1683583,-0.8521846403
1685409,-0.8521874122
1687235,-0.8521902205
1689061,-0.8521930915
1690887,-0.8521960578
1692713,-0.8521991621
1694539,-0.8522024611
1696365,-0.8522060324
1698191,-0.8522099816
1700017,-0.8522144474
1701843,-0.8522195958
1703669,-0.8522255862
1705495,-0.8522324912
1707321,-0.8522401891
1709147,-0.8522483355
1710973,-0.8522566023
1712799,-0.8522654044
1714625,-0.8522778042
1716451,-0.8523059268
1718277,-0.8523947932
1720103,-0.8526872078
1721929,-0.8533693292
1723755,-0.8541053246
1725581,-0.8544894851
1727407,-0.8546450021
1729233,-0.8546900868
1731059,-0.8547015316
1732885,-0.8547053378
1734711,-0.8547075255
1736537,-0.854709496
1738363,-0.8547115707
1740189,-0.8547138073
1742015,-0.8547162275
1743841,-0.854719006
1745667,-0.8547223006
1747493,-0.8547254313
1749319,-0.8547285735
1751145,-0.8547319932
1752971,-0.8547358273
1754797,-0.8547402235
1756623,-0.8547453515
1758449,-0.8547513603
1760275,-0.8547582867
1762101,-0.8547659438
1763927,-0.8547738884
1765753,-0.8547815563
1767579,-0.8547884954
1769405,-0.8547945053
1771231,-0.8547996092
1773057,-0.8548039429
1774883,-0.854807664
1776709,-0.854810916
1778535,-0.8548138507
1780361,-0.8548167414
1782187,-0.8548203532
1784013,-0.8548271976
1785839,-0.8548460985
1787665,-0.8549092161
1789491,-0.8551242278
1791317,-0.8556903072
1793143,-0.8564409287
1794969,-0.856864491
1796795,-0.8570040824
1798621,-0.8570439826
1800447,-0.8570562192
1802273,-0.8570610396
1804099,-0.8570640153
1805925,-0.8570667549
1807751,-0.8570697627
1809577,-0.8570732398
