"Taylor2ndDerivative_time","Taylor2ndDerivative_energyChange"
107527920,0.9828790071
107710480,0.9828817423
107893040,0.9828818249
108075600,0.9828819224
108258160,0.9828819933
108440720,0.9828827163
108623280,0.9829105685
108805840,0.9829138092
108988400,0.9829146903
109170960,0.982918811
109353520,0.9829103274
109536080,0.9831470352
109718640,0.9831434135
109901200,0.9831429392
110083760,0.9831429259
110266320,0.9831644591
110448880,0.9831745261
110631440,0.9831805935
110814000,0.9831807248
110996560,0.9831808118
111179120,0.9831809095
111361680,0.9831810042
111544240,0.9831810817
111726800,0.9831811152
111909360,0.9831861989
112091920,0.9832154982
112274480,0.983217497
112457040,0.9832093717
112639600,0.9834435787
112822160,0.9834388249
113004720,0.9834382627
113187280,0.9834381708
113369840,0.9834381668
113552400,0.9834388389
113734960,0.9834727695
113917520,0.9834759228
114100080,0.983475954
114282640,0.983476035
114465200,0.9834761255
114647760,0.9834762122
114830320,0.9834762838
115012880,0.983476303
115195440,0.9834776259
115378000,0.983490615
115560560,0.9835116239
115743120,0.9835491146
115925680,0.9837316935
116108240,0.9837294249
116290800,0.9837290827
116473360,0.983729032
116655920,0.9837290327
116838480,0.9837342957
117021040,0.9837368557
117203600,0.9837641873
117386160,0.9837670706
117568720,0.9837670992
117751280,0.9837671745
117933840,0.9837672552
118116400,0.9837673197
118298960,0.9837673705
118481520,0.9837733058
118664080,0.9837735558
118846640,0.9837796646
119029200,0.9837971244
119211760,0.9840215862
119394320,0.9840156727
119576880,0.9840149899
119759440,0.9840148556
119942000,0.9840150018
120124560,0.98402086
120307120,0.9840209438
120489680,0.9840234641
120672240,0.9840510724
120854800,0.9840532165
121037360,0.9840532477
121219920,0.9840533212
121402480,0.9840533864
121585040,0.9840536865
121767600,0.9840594206
121950160,0.9840594054
122132720,0.9840598234
122315280,0.9840712637
122497840,0.9840870162
122680400,0.9843062194
122862960,0.9842982056
123045520,0.9842970963
123228080,0.9842969883
123410640,0.9843026193
123593200,0.9843026412
123775760,0.9843027227
123958320,0.984305811
124140880,0.9843346553
124323440,0.9843354145
124506000,0.984335449
124688560,0.984335515
124871120,0.9843355723
125053680,0.9843411995
125236240,0.9843414088
125418800,0.9843414362
125601360,0.9843418037
125783920,0.9843612387
125966480,0.9843731941
126149040,0.9843700366
126331600,0.9845801945
126514160,0.9845765768
126696720,0.9845792995
126879280,0.9845809372
127061840,0.9845808709
127244400,0.9845808832
127426960,0.9845835115
127609520,0.9846131449
127792080,0.9846137066
127974640,0.9846137316
128157200,0.9846137832
128339760,0.9846141248
128522320,0.9846197277
128704880,0.9846197593
128887440,0.9846198037
129070000,0.9846199257
129252560,0.9846354535
129435120,0.9846523245
129617680,0.9846521215
129800240,0.9846514535
129982800,0.9846464125
130165360,0.9848638726
130347920,0.9848571976
130530480,0.9848562687
130713040,0.9848560528
130895600,0.9848565911
131078160,0.9848855962
131260720,0.9848885135
131443280,0.984888503
131625840,0.9848885499
131808400,0.9848885771
131990960,0.9848919003
132173520,0.9848946151
132356080,0.9848946368
132538640,0.9848946629
132721200,0.9848969479
132903760,0.9849264987
133086320,0.9849269791
133268880,0.9849269391
133451440,0.9849268612
133634000,0.9849265075
133816560,0.9849250843
133999120,0.9850062058
134181680,0.9851313019
134364240,0.9851291765
134546800,0.9851339888
134729360,0.9851602859
134911920,0.9851603521
135094480,0.9851603479
135277040,0.9851603925
135459600,0.9851604423
135642160,0.9851604492
135824720,0.98516569
136007280,0.9851663338
136189840,0.9851663983
136372400,0.9851724959
136554960,0.9851978205
136737520,0.9851979007
136920080,0.98519791
137102640,0.9851979422
137285200,0.9851979502
137467760,0.9851978709
137650320,0.9851975703
137832880,0.9852017776
138015440,0.9852201609
138198000,0.985407012
138380560,0.9854296504
138563120,0.9854293532
138745680,0.9854291988
138928240,0.9854291816
139110800,0.9854292087
139293360,0.9854292495
139475920,0.9854292759
139658480,0.9854296183
139841040,0.9854352755
140023600,0.9854377003
140206160,0.9854580487
140388720,0.985465058
140571280,0.985465007
140753840,0.9854650342
140936400,0.9854650788
141118960,0.9854651183
141301520,0.9854651355
141484080,0.9854650904
141666640,0.9854655581
141849200,0.9854726461
142031760,0.9854687143
142214320,0.9857046517
142396880,0.9856971895
142579440,0.9856961925
142762000,0.985695971
142944560,0.9856959256
143127120,0.9856959385
143309680,0.9856959797
143492240,0.9856962915
143674800,0.98569885
143857360,0.9857046988
144039920,0.9857110083
144222480,0.98573109
144405040,0.9857310633
144587600,0.9857310703
144770160,0.9857311147
144952720,0.985731167
145135280,0.9857312248
145317840,0.9857315256
145500400,0.9857340116
145682960,0.9857342579
145865520,0.9857395935
146048080,0.9857529691
146230640,0.9857625051
146413200,0.9859537831
146595760,0.9859596149
146778320,0.9859581371
146960880,0.9859578458
147143440,0.9859579816
147326000,0.9859604135
147508560,0.9859608845
147691120,0.9859608336
147873680,0.9859640493
148056240,0.9859896438
148238800,0.985993157
148421360,0.9859930937
148603920,0.9859931209
148786480,0.9859931762
148969040,0.9859933619
149151600,0.9859956621
149334160,0.9859964186
149516720,0.9859964651
149699280,0.9859964114
149881840,0.9859966834
150064400,0.9860271838
150246960,0.9860282857
150429520,0.9860278497
150612080,0.986026197
150794640,0.9860511473
150977200,0.9862225145
151159760,0.9862211759
151342320,0.9862207691
151524880,0.9862206382
151707440,0.9862205286
151890000,0.986221008
152072560,0.9862494378
152255120,0.9862526733
152437680,0.9862525873
152620240,0.9862526394
152802800,0.9862536663
152985360,0.9862556142
153167920,0.9862557577
153350480,0.9862558109
153533040,0.9862558432
153715600,0.9862558097
153898160,0.9862561978
154080720,0.986281162
154263280,0.9862876398
154445840,0.9862876887
154628400,0.9862879915
154810960,0.9862902298
154993520,0.9862902363
155176080,0.9862890164
155358640,0.9862817975
155541200,0.9864824993
155723760,0.9864787985
155906320,0.986478259
156088880,0.9865013991
156271440,0.9865037886
156454000,0.9865093212
156636560,0.9865110833
156819120,0.986512089
157001680,0.9865121596
157184240,0.9865122062
157366800,0.9865122511
157549360,0.9865122879
157731920,0.9865122903
157914480,0.9865122016
158097040,0.9865266032
158279600,0.9865381071
158462160,0.986538489
158644720,0.9865460945
158827280,0.98654628
159009840,0.9865462927
159192400,0.9865463061
