"Taylor3rdDerivative_time","Taylor3rdDerivative_energyChange"
91827760,0.9368690311
92010320,0.9368708554
92192880,0.9368910645
92375440,0.9368744986
92558000,0.9368755025
92740560,0.9368807799
92923120,0.936879624
93105680,0.9368832776
93288240,0.9368859242
93470800,0.936885028
93653360,0.9368896317
93835920,0.9368895434
94018480,0.9368912954
94201040,0.9368965152
94383600,0.9368960211
94566160,0.9369202558
94748720,0.9369021806
94931280,0.9369017981
95113840,0.9369046771
95296400,0.936908177
95478960,0.936908527
95661520,0.93691207
95844080,0.9369134237
96026640,0.9369158809
96209200,0.9369186772
96391760,0.9369176662
96574320,0.9369208934
96756880,0.9369240307
96939440,0.9369256648
97122000,0.9369284262
97304560,0.9369300656
97487120,0.9369315063
97669680,0.9369363882
97852240,0.9369351671
98034800,0.9369376323
98217360,0.93694012
98399920,0.9369631379
98582480,0.9369462507
98765040,0.9369460289
98947600,0.9369480604
99130160,0.9369525805
99312720,0.9369544876
99495280,0.9369550613
99677840,0.9369572051
99860400,0.9369633954
100042960,0.9369609197
100225520,0.9369646945
100408080,0.9369680305
100590640,0.9369679297
100773200,0.9369682557
100955760,0.9369713533
101138320,0.9369760738
101320880,0.9369922918
101503440,0.9369782954
101686000,0.9369809132
101868560,0.9369815403
102051120,0.9369856802
102233680,0.9369862267
102416240,0.9369889938
102598800,0.9369927103
102781360,0.9369925486
102963920,0.9369958742
103146480,0.9369989792
103329040,0.9370009785
103511600,0.9370051224
103694160,0.9370080974
103876720,0.9370082339
104059280,0.9370118202
104241840,0.9370144579
104424400,0.9370162926
104606960,0.9370169501
104789520,0.9370195082
104972080,0.937024861
105154640,0.937029193
105337200,0.9370267402
105519760,0.9370317803
105702320,0.937034181
105884880,0.9370340895
106067440,0.9370377789
106250000,0.9370388304
106432560,0.9370423069
106615120,0.9370444818
106797680,0.9370463867
106980240,0.9370502796
107162800,0.9370520711
107345360,0.9370535866
107527920,0.9370586105
107710480,0.9370579108
107893040,0.9370611374
108075600,0.9370655223
108258160,0.9370656034
108440720,0.9370704566
108623280,0.9370730172
108805840,0.9370754281
108988400,0.9370801295
109170960,0.9370824686
109353520,0.9370831697
109536080,0.9370884383
109718640,0.9370876095
109901200,0.9370929146
110083760,0.9370963277
110266320,0.9370967001
110448880,0.9371008021
110631440,0.9371063452
110814000,0.9371069218
