"Leapfrog_time","Leapfrog_energyChange"
111143120,-3.7953762e-06
111325621,-1.046441137e-06
111508122,-8.190523763e-07
111690623,-7.322662306e-06
111873124,-1.284754881e-05
112055625,-9.317870269e-06
112238126,-9.735006354e-07
112420627,-5.85125875e-06
112603128,-5.498222781e-07
112785629,-4.855731152e-06
112968130,-7.263274345e-06
113150631,-2.39504693e-06
113333132,-2.27056449e-06
113515633,-7.926673807e-06
113698134,-1.125323645e-05
113880635,-6.331817169e-06
114063136,-2.797337188e-06
114245637,-5.156219874e-06
114428138,-1.990480568e-06
114610639,-9.089785092e-06
114793140,-7.96054179e-06
114975641,-3.023333995e-06
115158142,-9.725912455e-07
115340643,-6.95945062e-06
115523144,-7.243307646e-06
115705645,-2.770006713e-06
115888146,-5.100240587e-06
116070647,-2.727065667e-06
116253148,-5.929429202e-06
116435649,-1.157157464e-05
116618150,-8.866126989e-06
116800651,-2.052655849e-06
116983152,-9.345083591e-07
117165653,-4.662912728e-06
117348154,-5.560835828e-06
117530655,-6.507280441e-07
117713156,-2.934602946e-06
117895657,-4.333376104e-07
118078158,-1.009103572e-05
118260659,-1.227047875e-05
118443160,-8.34747426e-06
118625661,-4.901049775e-07
118808162,-1.15922177e-06
118990663,-2.016784102e-06
119173164,-3.875279867e-06
119355665,-1.602247786e-06
119538166,-1.029478159e-06
119720667,-4.175500155e-06
119903168,-1.133640658e-05
120085669,-1.273907964e-05
120268170,-5.044363015e-06
120450671,-3.223617443e-06
120633172,-4.443402695e-06
120815673,-1.510233193e-06
120998174,-4.408672852e-06
121180675,-4.030874718e-06
121363176,-1.072342199e-06
121545677,-6.74222845e-06
121728178,-1.252869188e-05
121910679,-1.151555781e-05
122093180,-2.274132028e-06
122275681,-6.852373104e-06
122458182,-4.546279733e-06
122640683,-2.792735819e-06
122823184,-7.773064616e-06
123005685,-4.823875571e-06
123188186,-3.103235268e-06
123370687,-7.073948798e-06
123553188,-1.236706868e-05
123735689,-7.99024048e-06
123918190,-1.852825983e-06
124100691,-9.557236509e-06
124283192,-2.799165986e-06
124465693,-6.484153303e-06
124648194,-9.825045706e-06
124830695,-5.968190859e-06
125013196,-3.302191498e-06
125195697,-8.152342958e-06
125378198,-1.007002781e-05
125560699,-5.309882064e-06
125743200,-5.779621695e-06
125925701,-8.0573901e-06
126108202,-4.655738813e-07
126290703,-1.023027448e-05
126473204,-1.018286662e-05
126655705,-5.547367825e-06
126838206,-2.386201496e-06
127020707,-7.063405989e-06
127203208,-7.296512932e-06
127385709,-1.713517363e-06
127568210,-6.184687933e-06
127750711,-5.261481375e-06
127933212,-5.155078864e-06
128115713,-1.163218489e-05
128298214,-1.080557431e-05
128480715,-3.200442633e-06
128663216,-1.835203867e-06
128845717,-4.507107858e-06
129028218,-5.631976656e-06
129210719,-1.166342429e-07
129393220,-3.695825959e-06
129575721,-1.361346103e-06
129758222,-8.524496629e-06
129940723,-1.262588613e-05
130123224,-9.33018939e-06
130305725,-1.138957768e-06
130488226,-6.053763276e-07
130670727,-3.482365461e-06
130853228,-4.499008652e-06
131035729,-2.215867786e-06
131218230,-2.154651248e-06
131400731,-2.174271422e-06
131583232,-8.940019246e-06
131765733,-1.194723249e-05
131948234,-5.36149276e-06
132130735,-2.216305201e-06
132313236,-3.162741161e-06
132495737,-3.545723415e-06
132678238,-6.379517189e-06
132860739,-4.480749986e-06
133043240,-5.406459777e-07
133225741,-4.20758987e-06
133408242,-1.043664683e-05
133590743,-9.739391211e-06
133773244,-2.731587507e-06
133955745,-5.688084074e-06
134138246,-2.156284782e-06
134320747,-5.336165702e-06
134503248,-9.787200334e-06
134685749,-5.472694547e-06
134868250,-1.904930775e-06
135050751,-4.615192486e-06
135233252,-9.288395701e-06
135415753,-6.308142595e-06
135598254,-1.757552738e-06
135780755,-6.692521278e-06
135963256,-1.297460919e-07
136145757,-9.087465339e-06
136328258,-1.095541588e-05
136510759,-6.39830011e-06
136693260,-9.52529723e-07
136875761,-4.585205508e-06
137058262,-6.135254786e-06
137240763,-3.027555874e-06
137423264,-4.592516162e-06
137605765,-4.653169043e-06
137788266,-3.719745956e-06
137970767,-1.223308576e-05
138153268,-1.223853719e-05
138335769,-5.816419461e-06
138518270,-7.52232996e-07
138700771,-2.796877975e-06
138883272,-4.078171204e-06
139065773,-1.966682454e-07
139248274,-3.422278414e-06
139430775,-2.320791175e-06
139613276,-7.736480246e-06
139795777,-1.301669339e-05
139978278,-1.206192402e-05
140160779,-3.103726374e-06
140343280,-1.125888834e-06
140525781,-9.829442792e-09
140708282,-2.003505553e-06
140890783,-7.705467674e-07
141073284,-1.487346907e-06
141255785,-1.296996106e-06
141438286,-9.869292181e-06
141620787,-1.43639363e-05
141803288,-9.922824084e-06
141985789,-1.091507341e-06
142168290,-4.172682869e-06
142350791,-6.072504329e-07
142533292,-2.013723326e-06
142715793,-3.467845618e-06
142898294,-1.093265358e-07
143080795,-3.709053423e-06
143263296,-1.054750782e-05
143445797,-1.350252059e-05
143628298,-6.933176164e-06
143810799,-2.781609513e-06
143993300,-5.592477486e-06
144175801,-1.412485131e-07
144358302,-5.459729202e-06
144540803,-5.007967784e-06
144723304,-2.027236947e-06
144905805,-4.274049273e-06
145088306,-1.138850745e-05
145270807,-1.079331367e-05
145453308,-3.956180076e-06
145635809,-6.373494257e-06
145818310,-4.133127151e-06
146000811,-3.368758742e-06
146183312,-8.842713888e-06
146365813,-6.101726999e-06
146548314,-2.261103802e-06
146730815,-4.812078789e-06
146913316,-9.868614243e-06
147095817,-8.277954424e-06
147278318,-6.152069984e-08
147460819,-6.387710735e-06
147643320,-1.74185221e-06
147825821,-7.611796033e-06
148008322,-9.605490556e-06
148190823,-5.966801953e-06
148373324,-2.278561715e-07
148555825,-4.071538257e-06
148738326,-6.812597041e-06
148920827,-5.433971578e-06
149103328,-1.714698821e-06
149285829,-4.073100336e-06
149468330,-2.792284576e-06
149650831,-1.081167202e-05
149833332,-1.11840141e-05
150015833,-4.52984461e-06
150198334,-4.562695184e-07
150380835,-2.022173958e-06
150563336,-5.520694879e-06
150745837,-3.612493884e-06
150928338,-8.853396341e-08
151110839,-1.624023725e-06
151293340,-6.65137944e-06
151475841,-1.162720998e-05
151658342,-1.033104206e-05
151840843,-1.275689568e-06
152023344,-3.51851113e-06
152205845,-1.551210143e-07
152388346,-4.534519799e-06
152570847,-4.793260676e-06
152753348,-1.206505967e-06
152935849,-1.701343609e-06
153118350,-8.251126939e-06
153300851,-1.242263176e-05
153483352,-7.41496149e-06
153665853,-1.733408885e-06
153848354,-6.775258713e-06
154030855,-3.356967313e-07
154213356,-6.031220655e-06
154395857,-7.428152478e-06
154578358,-2.785223202e-06
154760859,-3.966045658e-06
154943360,-9.659168598e-06
155125861,-1.122375849e-05
155308362,-4.522405723e-06
155490863,-6.069591811e-06
155673364,-6.867308555e-06
155855865,-1.988678951e-06
156038366,-9.568378856e-06
156220867,-8.169936872e-06
156403368,-3.900130567e-06
156585869,-3.799990563e-06
156768370,-9.679854285e-06
156950871,-7.846012637e-06
157133372,-3.338546521e-07
157315873,-8.801807959e-06
157498374,-4.754312779e-06
157680875,-5.783599882e-06
157863376,-1.189866645e-05
158045877,-9.295726317e-06
158228378,-3.392196216e-06
158410879,-4.606470021e-06
158593380,-7.789104666e-06
158775881,-5.524532378e-06
158958382,-3.445769459e-06
159140883,-7.440152952e-06
159323384,-1.738499405e-06
159505885,-9.571351901e-06
159688386,-1.229436626e-05
159870887,-8.756902144e-06
160053388,-1.71916108e-06
160235889,-3.338505606e-06
160418390,-5.34697985e-06
160600891,-2.687429538e-06
160783392,-3.378392998e-06
160965893,-5.142925143e-06
161148394,-3.066130215e-06
161330895,-1.13029032e-05
161513396,-1.31995811e-05
161695897,-6.3585358e-06
161878398,-5.675506755e-07
162060899,-7.628230802e-07
162243400,-4.109256912e-06
162425901,-2.004313073e-06
162608402,-1.04530387e-06
162790903,-2.283941176e-06
162973404,-6.034560138e-06
163155905,-1.227360741e-05
163338406,-1.167384137e-05
163520907,-3.753702579e-06
163703408,-2.603056079e-06
163885909,-1.904307544e-07
164068410,-3.519079985e-06
164250911,-4.421927729e-06
164433412,-1.971515955e-07
164615913,-3.743614455e-07
164798414,-6.499359444e-06
164980915,-1.219040553e-05
165163416,-8.338968084e-06
165345917,-2.403299907e-07
165528418,-4.958167145e-06
165710919,-8.083374653e-07
165893420,-6.354783998e-06
166075921,-7.259538509e-06
166258422,-2.626358047e-06
166440923,-1.732250055e-06
166623424,-7.922737763e-06
166805925,-1.020638254e-05
166988426,-5.682641073e-06
167170927,-3.836162326e-06
167353428,-4.321401291e-06
167535929,-3.001540484e-06
167718430,-9.908409911e-06
167900931,-8.093849595e-06
168083432,-2.908516666e-06
168265933,-1.308067416e-06
168448434,-6.5216077e-06
168630935,-6.938290824e-06
168813436,-1.570519279e-06
168995937,-5.092073462e-06
169178438,-2.464869924e-06
169360939,-7.332438277e-06
169543440,-1.173197642e-05
169725941,-9.233723741e-06
169908442,-1.466090257e-06
170090943,-1.287095689e-06
170273444,-3.773585226e-06
170455945,-4.554207592e-06
170638446,-4.440065476e-07
170820947,-3.319662651e-06
171003448,-1.223063098e-06
171185949,-1.075231907e-05
171368450,-1.332330914e-05
171550951,-8.294727483e-06
171733452,-2.316298816e-07
171915953,-1.17016254e-06
172098454,-2.022209e-06
172280955,-2.236335624e-06
172463456,-8.78778603e-07
172645957,-1.719266123e-06
172828458,-4.856943032e-06
173010959,-1.162140508e-05
173193460,-1.339250957e-05
173375961,-5.377763559e-06
173558462,-2.748112112e-06
173740963,-3.889330287e-06
173923464,-1.035250117e-06
174105965,-3.57854503e-06
174288466,-2.771694556e-06
174470967,-1.320279955e-06
174653468,-6.914372554e-06
174835969,-1.331276428e-05
175018470,-1.157581358e-05
175200971,-3.012178319e-06
175383472,-6.797160375e-06
175565973,-4.154402911e-06
175748474,-1.85427445e-06
175930975,-6.631206222e-06
176113476,-3.664850221e-06
176295977,-2.828263141e-06
176478478,-7.722016809e-06
176660979,-1.268461697e-05
176843480,-8.897735603e-06
177025981,-1.256493002e-06
177208482,-8.374008109e-06
177390983,-2.823862645e-06
177573484,-6.197641734e-06
177755985,-8.528940525e-06
