"LeapfrogAdaptive_time","LeapfrogAdaptive_energyChange"
175411520,-1.04568641e-05
175594240,-2.139510512e-06
175776960,-4.01489362e-06
175959680,-6.428481659e-06
176142400,-3.206945181e-06
176325120,-8.678036099e-06
176507840,-1.53260484e-05
176690560,-5.9957453e-06
176873280,-1.852022612e-06
177056000,-5.133310825e-06
177238720,-2.699950444e-06
177421440,-7.043046768e-06
177604160,-1.153778743e-05
177786880,-9.751789006e-06
177969600,-1.144383761e-06
178152320,-5.627663249e-06
178335040,-2.932538287e-06
178517760,-4.728415181e-07
178700480,-1.086509138e-05
178883200,-8.56179892e-06
179065920,-3.488540606e-06
179248640,-3.829742823e-06
179431360,-5.985607246e-06
179614080,-2.707009961e-07
179796800,-4.879202061e-06
179979520,-1.056521941e-05
180162240,-3.753396656e-06
180344960,-1.654298323e-06
180527680,-4.935978951e-06
180710400,-3.065462011e-06
180893120,-4.804929772e-06
181075840,-7.65546704e-06
181258560,-6.481134717e-06
181441280,-9.506298241e-07
181624000,-4.994044046e-06
181806720,-2.830508973e-06
181989440,-1.382673879e-06
182172160,-1.001597345e-05
182354880,-6.173152682e-06
182537600,-3.152135964e-06
182720320,-4.227514331e-06
182903040,-3.491190716e-06
183085760,-1.834266415e-06
183268480,-7.687299238e-06
183451200,-1.103678072e-05
183633920,-4.065589398e-06
183816640,-1.289479092e-06
183999360,-3.490165118e-06
184182080,-5.081676709e-07
184364800,-9.600081203e-06
184547520,-1.057237057e-05
184730240,-1.002450296e-05
184912960,-8.144724121e-07
185095680,-3.604046113e-06
185278400,-2.439480343e-06
185461120,-4.115573183e-06
185643840,-1.355405675e-05
185826560,-9.601974457e-06
186009280,-4.476573851e-06
186192000,-4.82982025e-06
186374720,-5.09002935e-06
186557440,-1.316424271e-06
186740160,-7.66676991e-06
186922880,-1.42109604e-05
187105600,-5.156599084e-06
187288320,-1.795865743e-06
187471040,-6.596022228e-06
187653760,-4.535343018e-06
187836480,-6.66718858e-06
188019200,-1.003791726e-05
188201920,-1.2607743e-05
188384640,-2.52685256e-07
188567360,-4.83536299e-06
188750080,-5.872601284e-06
188932800,-4.932521969e-07
189115520,-1.087085087e-05
189298240,-1.08874972e-05
189480960,-6.363161636e-06
189663680,-2.877979399e-06
189846400,-6.790154558e-06
190029120,-9.995606053e-07
190211840,-4.094467413e-06
190394560,-1.490134982e-05
190577280,-7.696479841e-06
190760000,-2.623722432e-06
190942720,-4.425329603e-06
191125440,-4.301685974e-06
191308160,-4.235266247e-06
191490880,-8.683087409e-06
191673600,-1.329209186e-05
191856320,-4.647546271e-06
192039040,-1.324150966e-06
192221760,-2.452977414e-06
192404480,-4.039919185e-07
192587200,-9.842043847e-06
192769920,-9.760545565e-06
192952640,-8.417571637e-06
193135360,-2.300906981e-07
193318080,-4.015341197e-06
193500800,-1.109484687e-08
193683520,-3.458060553e-06
193866240,-1.173330937e-05
194048960,-6.612358563e-06
194231680,-2.300931787e-06
194414400,-3.522441673e-06
194597120,-3.283221914e-06
194779840,-3.265149765e-06
194962560,-6.871102368e-06
195145280,-8.908279178e-06
195328000,-1.986570108e-06
195510720,-3.954977117e-06
195693440,-3.262262766e-06
195876160,-1.230106554e-06
196058880,-8.512430125e-06
196241600,-6.941808633e-06
196424320,-5.260635587e-06
196607040,-3.959975869e-06
196789760,-5.581973742e-06
196972480,-1.848202294e-06
197155200,-3.89504998e-06
197337920,-1.068656455e-05
197520640,-5.509313124e-06
197703360,-9.238190783e-07
197886080,-5.802524035e-06
198068800,-4.467349271e-06
198251520,-3.851039448e-06
198434240,-9.524280656e-06
198616960,-1.129651558e-05
198799680,-1.308540699e-06
198982400,-4.294138891e-06
199165120,-5.311867836e-06
199347840,-3.657263883e-07
199530560,-1.052874064e-05
199713280,-1.207121684e-05
199896000,-8.593142228e-06
200078720,-2.56857676e-06
200261440,-4.915465215e-06
200444160,-2.745938896e-06
200626880,-5.567961829e-06
200809600,-1.431290739e-05
200992320,-9.92376276e-06
201175040,-2.222992261e-06
201357760,-5.488286766e-06
201540480,-5.975724017e-06
201723200,-2.103667979e-06
201905920,-8.954859987e-06
202088640,-1.483523243e-05
202271360,-3.679709594e-06
202454080,-1.868593124e-06
202636800,-7.709732324e-06
202819520,-2.870591035e-06
203002240,-6.42470429e-06
203184960,-1.071572972e-05
203367680,-9.72224386e-06
203550400,-8.881749631e-07
203733120,-5.493247586e-06
203915840,-4.89955289e-06
204098560,-7.504415855e-07
204281280,-1.092208065e-05
204464000,-8.236770964e-06
204646720,-4.866567378e-06
204829440,-4.814870458e-06
205012160,-5.446429783e-06
205194880,-3.533100491e-07
205377600,-4.779532304e-06
205560320,-1.216967807e-05
205743040,-4.644748395e-06
205925760,-5.52537071e-07
206108480,-4.733176312e-06
206291200,-1.90886661e-06
206473920,-5.692214161e-06
206656640,-8.373140586e-06
206839360,-9.987595314e-06
207022080,-9.818131482e-07
207204800,-2.075230116e-06
207387520,-1.070790674e-06
207570240,-2.377731626e-06
207752960,-1.204840934e-05
207935680,-7.863632912e-06
208118400,-6.693080083e-06
208301120,-2.164751926e-06
208483840,-1.411623219e-06
208666560,-2.715597014e-06
208849280,-7.142370645e-06
209032000,-1.238013019e-05
209214720,-4.67967083e-06
209397440,-3.018838986e-07
209580160,-2.63995463e-06
209762880,-8.826337291e-07
209945600,-8.408166366e-06
210128320,-8.996451572e-06
210311040,-9.730927702e-06
210493760,-9.432753971e-07
210676480,-3.850169003e-06
210859200,-2.930273347e-06
211041920,-2.317396766e-06
211224640,-1.174310751e-05
211407360,-7.887975911e-06
211590080,-3.433621202e-06
211772800,-5.103221854e-06
211955520,-5.863187775e-06
212138240,-1.71322205e-07
212320960,-6.895463337e-06
212503680,-1.271623004e-05
212686400,-4.494896233e-06
212869120,-2.472526522e-06
213051840,-6.74998386e-06
213234560,-4.917425269e-06
213417280,-6.371142182e-06
213600000,-9.897295565e-06
213782720,-1.223668214e-05
213965440,-1.069514215e-07
214148160,-4.800498796e-06
214330880,-5.774854919e-06
214513600,-8.132297527e-07
214696320,-1.107837317e-05
214879040,-1.252000866e-05
215061760,-7.036586577e-06
215244480,-2.689863344e-06
215427200,-6.19655408e-06
215609920,-1.000917705e-06
215792640,-5.730207261e-06
215975360,-1.507498717e-05
216158080,-9.150577134e-06
216340800,-2.140913688e-06
216523520,-5.762702573e-06
216706240,-4.401181986e-06
216888960,-2.567465612e-06
217071680,-9.526118278e-06
217254400,-1.291203237e-05
217437120,-3.478294363e-06
217619840,-2.58940192e-06
217802560,-5.414137897e-06
217985280,-1.583682367e-06
218168000,-7.381932067e-06
218350720,-9.71195653e-06
218533440,-7.495498914e-06
218716160,-2.280716606e-06
218898880,-5.111692628e-06
219081600,-3.400493392e-06
219264320,-2.183333305e-06
219447040,-1.056409968e-05
219629760,-5.687931398e-06
219812480,-2.244576559e-06
219995200,-5.785430757e-06
220177920,-3.581109197e-06
220360640,-6.1628806e-07
220543360,-6.83388068e-06
220726080,-8.686138137e-06
220908800,-1.254314693e-06
221091520,-2.645068062e-06
221274240,-4.916341488e-06
221456960,-7.587372652e-07
221639680,-7.808642533e-06
221822400,-7.238133453e-06
222005120,-6.689477317e-06
222187840,-2.986323216e-06
222370560,-3.045241161e-06
222553280,-1.606934769e-06
222736000,-5.352004518e-06
222918720,-1.158427364e-05
223101440,-6.050098968e-06
223284160,-2.344549844e-06
223466880,-4.640552939e-06
223649600,-1.642509658e-06
223832320,-5.089265034e-06
224015040,-1.001519944e-05
224197760,-1.252354648e-05
224380480,-2.044099705e-06
224563200,-1.685793999e-06
224745920,-4.581888713e-06
224928640,-1.355684014e-06
225111360,-1.118820557e-05
225294080,-1.08190989e-05
225476800,-9.630872383e-06
225659520,-3.098567928e-06
225842240,-3.836304132e-06
226024960,-2.564583335e-06
226207680,-5.546848341e-06
226390400,-1.361526001e-05
226573120,-8.574485426e-06
226755840,-2.295358709e-06
226938560,-6.227226657e-06
227121280,-5.877063855e-06
227304000,-2.094124792e-06
227486720,-8.016495677e-06
227669440,-1.477604583e-05
227852160,-2.852956676e-06
228034880,-2.260159773e-06
228217600,-7.679845705e-06
228400320,-3.214327564e-06
228583040,-6.509705962e-06
228765760,-1.088467595e-05
228948480,-1.056298131e-05
229131200,-9.105667903e-07
229313920,-5.070143085e-06
229496640,-4.462442251e-06
229679360,-1.452364066e-06
229862080,-1.254815085e-05
230044800,-1.008914518e-05
230227520,-6.524484219e-06
230410240,-3.222969487e-06
230592960,-4.790403921e-06
230775680,-3.840785987e-07
230958400,-6.398518954e-06
231141120,-1.394310398e-05
231323840,-6.889063241e-06
231506560,-2.014445313e-06
231689280,-4.010871032e-06
231872000,-1.852060968e-06
232054720,-5.547329996e-06
232237440,-9.78280232e-06
232420160,-1.0647408e-05
232602880,-2.468344509e-06
232785600,-2.499576556e-06
232968320,-2.485684692e-06
233151040,-1.370373176e-06
233333760,-9.98599574e-06
233516480,-8.169491485e-06
233699200,-6.077137571e-06
233881920,-3.057169491e-06
234064640,-3.15957981e-06
234247360,-3.050414256e-07
234430080,-5.471570848e-06
234612800,-9.631628865e-06
234795520,-4.290498518e-06
234978240,-8.460616208e-07
235160960,-5.019064701e-06
235343680,-2.388644867e-06
235526400,-4.752690172e-06
235709120,-7.480657869e-06
235891840,-7.970636957e-06
236074560,-1.80377056e-06
236257280,-4.443081923e-06
236440000,-4.854035798e-06
236622720,-1.634834073e-06
236805440,-9.128129795e-06
236988160,-7.74840293e-06
237170880,-3.339380931e-06
237353600,-5.782164058e-06
237536320,-4.263133699e-06
237719040,-9.896005386e-07
237901760,-7.969016172e-06
238084480,-1.219432443e-05
238267200,-4.878783519e-06
238449920,-1.590158751e-06
238632640,-6.657818506e-06
238815360,-2.705957111e-06
238998080,-6.038671333e-06
239180800,-1.157445946e-05
239363520,-1.248365977e-05
239546240,-8.731547324e-08
239728960,-2.983584151e-06
239911680,-6.035992403e-06
240094400,-2.673545907e-06
240277120,-1.171320795e-05
240459840,-1.247013848e-05
240642560,-7.16824257e-06
240825280,-3.807609478e-06
241008000,-5.210824146e-06
241190720,-2.290342373e-06
241373440,-6.664366869e-06
241556160,-1.523668669e-05
241738880,-7.518639903e-06
241921600,-2.103803536e-06
242104320,-7.771874567e-06
242287040,-4.539764562e-06
242469760,-1.796239212e-06
242652480,-9.370580625e-06
242835200,-1.262914264e-05
243017920,-1.829566009e-06
243200640,-2.802518544e-06
243383360,-7.551723e-06
243566080,-1.67927698e-06
243748800,-7.091988809e-06
243931520,-9.346406229e-06
244114240,-8.380200541e-06
244296960,-2.610994831e-06
244479680,-5.089428658e-06
244662400,-3.421134562e-06
244845120,-2.310663079e-06
245027840,-1.161696847e-05
245210560,-6.778202665e-06
245393280,-4.554839837e-06
245576000,-5.014155377e-06
245758720,-2.44431804e-06
245941440,-1.529392727e-06
246124160,-7.498173091e-06
246306880,-1.135215897e-05
246489600,-3.225296855e-06
246672320,-1.4085512e-07
246855040,-3.187788199e-06
247037760,-3.559584575e-07
